window_index,time_s,entropy_h0,entropy_h1,entropy_h2,p_inf_h0,p_inf_h1,p_inf_h2,mean_betti0,mean_betti1,mean_betti2
336,203100.0,7.57112458376575,3.6132153424002333,1.7410889124207245,0.04941659793257713,0.15916965901851654,0.004232063889503479,15.7,0.0,0.0
337,203700.0,7.5663086441278535,3.3608267740435855,0.7821308070504892,0.050229474902153015,0.16011250019073486,0.0006247013807296753,15.45,0.05,0.0
338,204300.0,7.556285278710382,2.788294951511306,1.222463615379693,0.06150609627366066,0.13606467843055725,0.002982422709465027,14.35,0.05,0.0
339,204900.0,7.547593052693143,3.354457840937893,1.4351049527771922,0.06150609627366066,0.1256081908941269,0.005088493227958679,13.4,0.0,0.0
340,205500.0,7.5488721678542445,3.7828287649216246,1.591376613170659,0.061424750834703445,0.09340852499008179,0.01168571412563324,13.7,0.0,0.0
341,206100.0,7.5530188610212585,3.4784301785524434,0.9420906833653779,0.061424750834703445,0.11008841171860695,0.0006593018770217896,13.55,0.0,0.0
342,206700.0,7.556770897032107,3.4961318194016515,1.7567171614501524,0.05225897207856178,0.11008841171860695,0.0063955336809158325,13.5,0.0,0.0
343,207300.0,7.531208313199364,3.8807791262649083,3.0500450022276895,0.06340347230434418,0.06284388899803162,0.0038564354181289673,14.3,0.0,0.0
344,207900.0,7.5089982708193554,3.834195588698987,2.6117827647589014,0.07401350885629654,0.1052306517958641,0.003356263041496277,16.25,0.0,0.0
345,208500.0,7.505035049745938,4.066397931350723,0.8634144488456252,0.07401350885629654,0.09295237809419632,0.0018996894359588623,16.75,0.0,0.0
346,209100.0,7.490497690558226,4.201654641567328,1.150510352005642,0.07401350885629654,0.09295237809419632,0.0023355484008789062,16.1,0.0,0.0
347,209700.0,7.5063010146662625,3.7968048605515325,0.4938288826367814,0.07546522468328476,0.13112472742795944,0.004091031849384308,15.1,0.0,0.0
348,210300.0,7.542689515362727,4.02924094408502,2.6329947106931955,0.05951470509171486,0.12661445885896683,0.011561468243598938,14.1,0.0,0.0
349,210900.0,7.563822409047052,4.426158652052807,2.83162674221792,0.04871344938874245,0.06811877340078354,0.005618751049041748,14.3,0.0,0.0
350,211500.0,7.541830378740361,4.712999098385749,3.4941509180145394,0.054369110614061356,0.06794490292668343,0.011914536356925964,14.3,0.0,0.0
351,212100.0,7.5409010699546775,4.413495081276527,3.7434145283569635,0.054129473865032196,0.09498951956629753,0.007993049919605255,14.6,0.0,0.0
352,212700.0,7.544911852619306,4.334648211768512,2.2866569794054605,0.054129473865032196,0.09498951956629753,0.004000835120677948,14.0,0.0,0.0
353,213300.0,7.5554021777536455,3.8875234382110615,0.9946212832528974,0.05356304720044136,0.10681603476405144,0.0022118687629699707,12.55,0.0,0.0
354,213900.0,7.561612782698704,3.91355942198722,1.4394234375803971,0.04413615167140961,0.0876549668610096,0.00854542851448059,12.05,0.0,0.0
355,214500.0,7.556153300395538,3.8032036821958055,2.4298710558833916,0.048476800322532654,0.07340103387832642,0.003237798810005188,13.0,0.0,0.0
356,215100.0,7.556859399509261,3.4933994187703816,2.4469565143108043,0.048476800322532654,0.13641361147165298,0.008219853043556213,14.7,0.05,0.0
357,215700.0,7.559097501922042,3.0812580158216245,2.062046201503387,0.04973931983113289,0.15167450904846191,0.0038197189569473267,15.85,0.1,0.0
